OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
80d56150d68ffba09f76be4a2a83ec0d	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	 Rhynchosporium_secalis
4e0481f68111cd3463386f70247922bb	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Weeksellaceae	 Chryseobacterium	
aa9b3a1418d146c262ec63305292065a	Bacteria	 Actinobacteriota	 Actinobacteria	 Corynebacteriales	 Corynebacteriaceae	 Corynebacterium	
372c6c45a3b1539c3fa5bb57c28c61dd	Eukaryota	 Basidiomycota	 Tremellomycetes	 Filobasidiales	 Filobasidiaceae	 Filobasidium	
970dbb047f898524ce86b2dc82187f8d	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
f84112e549fd23236356ffd859953bb0	Unassigned						
90f44084459949dd4fd965e1fc355026	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 1174-901-12	
240a2f0c3ee5b3a2845f03c8315b6bf0	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	 Fusarium_circinatum
26bc59da922a026b571c40128adf6e97	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 Blattabacteriaceae	 Candidatus_Uzinura	
fde5bb3d397c348a60de61674f960db1	Bacteria	 Chloroflexi	 KD4-96	 KD4-96	 KD4-96	 KD4-96	
fd496fd32dc8c08ade2e8b6c9d8ee13d	Bacteria	 Firmicutes	 Bacilli	 Lactobacillales	 Streptococcaceae	 Streptococcus	
f27469e92e8149be8a319e48bf8c42d9	Bacteria	 Acidobacteriota	 Blastocatellia	 Pyrinomonadales	 Pyrinomonadaceae	 Pyrinomonas	 uncultured_bacterium
318731df8b5243f85b944770513f061e	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Hymenobacteraceae	 Hymenobacter	
df71de0e92459aa808364311135bb8fc	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Comamonadaceae		
b6c83c9dcc47d41e1ea5831f40966169	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Hymenobacteraceae	 Hymenobacter	 Hymenobacter_rivuli
afbcdcc7387b398162425625ea9d4ffe	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	 Botryosphaeria_dothidea
08bdc6c81f6b9daab3d132b54e1d45bc	Bacteria	 Actinobacteriota	 Actinobacteria	 Corynebacteriales	 Nocardiaceae	 Rhodococcus	
c1aa5f6abf0d60b9906488d36ad3a6c6	Unassigned						
87d23203239f1790d29724eab9d987b2	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Morganellaceae	 Buchnera	 Buchnera_aphidicola
394eda29c886632f514dd94b58381186	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pasteurellales	 Pasteurellaceae		
c2a787cf867ebfdce216002bcc8a94e1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae		
4aa70473d987d414eb307bee0a0f325c	Bacteria	 Gemmatimonadota	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 uncultured	
8b7ed699511c4ce2d3e390b6d3ffab03	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae		
b4cfa667d490dacf47cbf5bf93a50d77	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
a60f0b4bc20e5a162b45b3d2ed7a0d6c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Caulobacter	
a00c5b221732a1d46f25a80513467fc1	Bacteria	 Myxococcota	 Myxococcia	 Myxococcales	 Myxococcaceae	 P3OB-42	 uncultured_bacterium
b7178af2a8ebf0cb9c1e56605f18602b	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	
